unit_nr,RUL,predicted_RUL,failure_probability,actual_failure_soon
1,112,120.54419198432203,0.03564646412542383,0
2,98,106.8043863841997,0.1455649089264024,0
3,69,55.09475726429657,0.5592419418856275,0
4,82,84.43105125609098,0.3245515899512722,0
5,91,107.81966683141854,0.13744266534865168,0
6,93,115.92688534308274,0.072584917255338,0
7,91,107.69109786444874,0.13847121708441013,0
8,95,98.44614291753548,0.21243085665971617,0
9,111,119.2438745279385,0.046049003776492015,0
10,96,106.67753041954212,0.14657975664366307,0
11,97,84.73378722073737,0.3221297022341011,0
12,124,107.023657806012,0.143810737551904,0
13,95,90.08796171938661,0.2792963062449071,0
14,107,96.00645648874817,0.23194834809001463,0
15,83,110.09402989225545,0.11924776086195643,0
16,84,115.9163696122621,0.07266904310190314,0
17,50,48.59157351143068,0.6112674119085546,0
18,28,76.35903350621497,0.3891277319502803,0
19,87,109.52057431849934,0.12383540545200522,0
20,16,16.281270522583732,0.8697498358193301,1
21,57,83.01048430413721,0.3359161255669023,0
22,111,107.24791881872045,0.1420166494502364,0
23,113,120.7956447831389,0.03363484173488884,0
24,20,25.8663625314944,0.7930690997480447,1
25,125,114.27974053226096,0.0857620757419123,0
26,119,112.0217368267337,0.10382610538613035,0
27,66,113.49496186951565,0.09204030504387484,0
28,97,106.50046035429203,0.14799631716566375,0
29,90,110.21403654198026,0.11828770766415786,0
30,115,97.64223000633336,0.2188621599493331,0
31,8,13.0922876980618,0.8952616984155056,1
32,48,52.779144963681034,0.5777668402905518,0
33,106,112.34702828857108,0.10122377369143132,0
34,7,6.195829770330178,0.9504333618373586,1
35,11,7.526131090748465,0.9397909512740122,1
36,19,17.736961840254317,0.8581043052779654,1
37,21,69.6744019815666,0.4426047841474672,0
38,50,50.39633067041424,0.5968293546366861,0
39,125,121.08625267495147,0.03130997860038831,0
40,28,31.171566667686868,0.7506274666585051,0
41,18,50.33499763574274,0.5973200189140582,1
42,10,21.84891942581364,0.8252086445934909,1
43,59,73.21162793941379,0.4143069764846897,0
44,109,110.84000017016986,0.11327999863864113,0
45,114,68.42311125160485,0.45261510998716115,0
46,47,50.83145374536778,0.5933483700370578,0
47,125,114.14806839497847,0.08681545284017222,0
48,92,105.99877697932718,0.15200978416538258,0
49,21,18.54141041936747,0.8516687166450603,0
50,79,86.97496716649393,0.30420026266804856,0
51,114,112.32081273537605,0.10143349811699154,0
52,29,58.50204103156064,0.5319836717475149,0
53,26,34.45911426977066,0.7243270858418347,0
54,97,116.27730278707128,0.06978157770342974,0
55,125,114.35880910709288,0.08512952714325694,0
56,15,14.619589197046011,0.883043286423632,1
57,103,103.21679523754854,0.1742656380996117,0
58,37,49.51589612674661,0.6038728309860271,0
59,114,117.76072979099233,0.057914161672061315,0
60,100,108.01637368407653,0.13586901052738776,0
61,21,39.693652228156964,0.6824507821747443,0
62,54,49.59947780556297,0.6032041775554963,0
63,72,73.97799116345695,0.4081760706923444,0
64,28,38.538443723376,0.691692450212992,0
65,125,122.71195964065059,0.01830432287479522,0
66,14,16.926270000873295,0.8645898399930136,1
67,77,116.26095853106705,0.06991233175146361,0
68,8,11.325008780498738,0.9093999297560101,1
69,121,117.50303720132148,0.059975702389428176,0
70,94,101.68638708910383,0.1865089032871693,0
71,118,118.16352321146294,0.054691814308296394,0
72,50,96.02551805381454,0.23179585556948368,0
73,125,115.75572941543379,0.07395416467652971,0
74,125,91.5691014239711,0.26744718860823113,0
75,113,111.50429335410892,0.10796565316712858,0
76,10,8.42457330393462,0.932603413568523,1
77,34,50.83216218283576,0.5933427025373139,0
78,107,124.25077186156646,0.005993825107468265,0
79,63,107.0903832272679,0.14327693418185672,0
80,90,93.91604587606558,0.24867163299147532,0
81,8,7.0713150243342975,0.9434294798053257,1
82,9,12.191667440551537,0.9024666604755877,1
83,125,113.3252610838049,0.09339791132956077,0
84,58,71.04440938164878,0.43164472494680983,0
85,118,105.9670960666928,0.1522632314664576,0
86,89,107.66015223242722,0.1387187821405822,0
87,116,118.86477315725719,0.04908181474194251,0
88,115,116.2117371488803,0.07030610280895755,0
89,125,107.76893610819545,0.1378485111344364,0
90,28,26.948909681263476,0.7844087225498921,0
91,38,20.480060014328107,0.8361595198853752,0
92,20,20.008411161408638,0.8399327107087309,1
93,85,41.13433808003959,0.6709252953596833,0
94,55,58.954794229037034,0.5283616461677036,0
95,125,107.38368465287537,0.14093052277699702,0
96,125,120.1569143613743,0.03874468510900553,0
97,82,107.56860562015656,0.1394511550387475,0
98,59,85.81832580714898,0.3134533935428082,0
99,117,119.72036885452893,0.04223704916376858,0
100,20,17.23530856764021,0.8621175314588783,1
